Buffer Size,Lowest Attempt,Highest Attempt,Med of 10,Num Distinct Elements,Accuracy,Lowest Accuracy,Highest Accuracy
505,950.159985917586,1028.760563915855,988.1748381379898,1001,98.71876504875023,94.92107751424436,97.22671689152297
572,960.2494546475945,1041.0269630752346,997.1765718929441,1001,99.61803915014427,95.92901644831113,96.00130239008647
648,981.4091595864345,1059.3486786034218,1003.348406895019,1001,99.76539391658152,98.04287308555789,94.17096117847935
733,965.3137636762195,1015.8837862242674,990.6015545924076,1001,98.96119426497579,96.43494142619575,98.51310826930396
828,988.2101610435368,1019.5601633306692,998.9347965228133,1001,99.79368596631501,98.72229381054314,98.14583782910398
934,992.8359633377468,1017.8589243275626,1004.9546146808482,1001,99.60493359831688,99.18441192185283,98.31579177546827
1054,1001.0,1001.0,1001.0,1001,100.0,100.0,100.0
1188,1001.0,1001.0,1001.0,1001,100.0,100.0,100.0
1338,1001.0,1001.0,1001.0,1001,100.0,100.0,100.0
1506,1001.0,1001.0,1001.0,1001,100.0,100.0,100.0
1694,1001.0,1001.0,1001.0,1001,100.0,100.0,100.0
